Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
10800;0,6711;0,596101;0,0195579;0,992107;0,00808971;0,7021;0,630929;0,029808;0,994641;0,00596714;0,6582;0,693436;0,021846;0,990548;0,00954145
10900;0,6795;0,607675;0,0165514;0,993053;0,00825357;0,7302;0,634833;0,0255859;0,990462;0,0116256;0,6458;0,685835;0,0298461;0,99266;0,00838254
11000;0,6538;0,609841;0,0143764;0,993231;0,00720302;0,6509;0,645701;0,0226906;0,993192;0,0121353;0,6241;0,679025;0,034157;0,988172;0,013833
11100;0,6557;0,610651;0,0153272;0,993006;0,00745022;0,6585;0,65564;0,0159207;0,995311;0,00640452;0,6561;0,675447;0,0353;0,991915;0,00982316
11200;0,7001;0,61108;0,0145759;0,992046;0,00800094;0,6459;0,653757;0,0184396;0,994203;0,0091757;0,66;0,66651;0,0314375;0,995769;0,00584541
11300;0,7218;0,606217;0,0178012;0,99322;0,00720744;0,6395;0,65423;0,0134944;0,993328;0,010378;0,6393;0,671133;0,0248295;0,995267;0,00763968
11400;0,7081;0,616026;0,018347;0,993434;0,0104561;0,6352;0,650755;0,0143849;0,994159;0,0102842;0,6265;0,67325;0,0228955;0,993038;0,00811363
11500;0,686;0,619989;0,0192633;0,993637;0,00805395;0,6294;0,654023;0,0170679;0,995719;0,00720344;0,6902;0,6782;0,0170676;0,991298;0,0117993
11600;0,7119;0,616536;0,0194057;0,989579;0,011561;0,6344;0,647149;0,00950708;0,99323;0,00990044;0,6712;0,681233;0,0234765;0,992155;0,0103502
11700;0,6646;0,622148;0,0230187;0,986406;0,0145521;0,6319;0,650156;0,0134009;0,995139;0,005891;0,6454;0,689565;0,0285827;0,994313;0,00783621
11800;0,699;0,620929;0,0202809;0,992205;0,0120808;0,593;0,650124;0,0129199;0,99316;0,00682566;0,6341;0,688827;0,0290559;0,99527;0,00670685
11900;0,668;0,623556;0,0213926;0,988967;0,0142907;0,6701;0,640942;0,01886;0,993706;0,00664177;0,654;0,683131;0,0344391;0,99257;0,00765664
12000;0,6498;0,621152;0,0289662;0,992017;0,00911815;0,6836;0,630475;0,0234099;0,993611;0,00920048;0,6569;0,666806;0,0344683;0,989001;0,010555
12100;0,6516;0,611422;0,0249823;0,988139;0,0106319;0,6752;0,6224;0,0215718;0,993142;0,00815919;0,6858;0,665606;0,0325583;0,992583;0,00936643
12200;0,6622;0,602982;0,0285907;0,993781;0,00674066;0,6386;0,620917;0,0158694;0,994495;0,00835632;0,6482;0,662352;0,0261334;0,996765;0,00686893
12300;0,6602;0,585492;0,0260023;0,993597;0,00660938;0,6258;0,612097;0,026559;0,993635;0,00818004;0,6563;0,666075;0,0235575;0,995223;0,00870499
12400;0,668;0,589664;0,0312402;0,991629;0,00861501;0,6527;0,631628;0,0254247;0,995882;0,00949701;0,6324;0,662104;0,0236994;0,997029;0,00546857
12500;0,692;0,590289;0,028616;0,994984;0,00772295;0,7203;0,636725;0,0330096;0,99276;0,0117228;0,674;0,670097;0,0248826;0,99238;0,0112268
12600;0,6836;0,591605;0,0312368;0,990615;0,012908;0,7012;0,631027;0,0377264;0,992001;0,00739695;0,6783;0,666446;0,0308879;0,993766;0,00793616
