Generation	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo
17500	0.5834	0.681375	0.0265884	0.101	0.5754	0.669541	0.0191883	0.129	0.5741	0.666991	0.0276331	0.113
17600	0.5817	0.693645	0.0319804	0.105	0.5472	0.661596	0.0208092	0.125	0.566	0.667732	0.0178997	0.119
17700	0.5958	0.700672	0.0298587	0.111	0.5372	0.669636	0.0122391	0.159	0.5598	0.677358	0.0203433	0.129
17800	0.5935	0.710286	0.0320697	0.105	0.5389	0.667324	0.0158645	0.159	0.5813	0.670897	0.0184026	0.117
17900	0.5623	0.70758	0.0374183	0.144	0.5738	0.672304	0.016107	0.102	0.5502	0.670707	0.0214916	0.138
18000	0.541	0.704373	0.0311454	0.167	0.5875	0.666217	0.0212336	0.088	0.5938	0.671095	0.0212383	0.095
18100	0.5634	0.723529	0.0321984	0.141	0.5483	0.664953	0.022327	0.126	0.5477	0.680528	0.016473	0.136
18200	0.5925	0.701774	0.0208686	0.113	0.5628	0.65818	0.0140618	0.1	0.5591	0.688639	0.01361	0.163
18300	0.5388	0.687299	0.02036	0.142	0.5742	0.662944	0.0101953	0.111	0.5455	0.689272	0.013208	0.155
18400	0.5729	0.681581	0.0178785	0.088	0.5545	0.669884	0.0149863	0.11	0.5498	0.677574	0.0150387	0.141
18500	0.5799	0.679684	0.0162928	0.105	0.5609	0.667515	0.0159034	0.129	0.532	0.674302	0.018521	0.173
18600	0.5801	0.677377	0.0251972	0.109	0.5489	0.66088	0.0206564	0.121	0.5658	0.676142	0.0170712	0.133
18700	0.5692	0.665161	0.0304441	0.113	0.5547	0.655537	0.0243211	0.136	0.5479	0.66353	0.0212491	0.127
18800	0.535	0.669748	0.034597	0.155	0.5458	0.648576	0.0261738	0.13	0.5513	0.661315	0.0208197	0.129
18900	0.5537	0.651309	0.0392981	0.132	0.5375	0.649173	0.0360779	0.13	0.5379	0.664369	0.0231015	0.131
19000	0.5546	0.632692	0.0319259	0.094	0.5587	0.649468	0.0320794	0.134	0.554	0.682664	0.0193538	0.151
19100	0.5329	0.621895	0.0337851	0.132	0.5634	0.651272	0.0363049	0.104	0.5878	0.672192	0.017697	0.106
19200	0.5035	0.617003	0.0218056	0.128	0.5218	0.662484	0.0277546	0.168	0.5527	0.668604	0.02089	0.124
19300	0.5325	0.627468	0.0194089	0.095	0.5529	0.648779	0.0351702	0.103	0.5585	0.668235	0.022498	0.13
19400	0.5326	0.62643	0.0196336	0.127	0.5451	0.660073	0.0331386	0.142	0.5531	0.664855	0.0276913	0.128
19500	0.5297	0.622507	0.023814	0.118	0.5449	0.648523	0.0377153	0.123	0.5338	0.66421	0.0296062	0.134
19600	0.5238	0.626941	0.0234834	0.153	0.5361	0.654209	0.0367837	0.136	0.5429	0.66451	0.0251308	0.133
19700	0.5469	0.625153	0.0183873	0.099	0.5579	0.653512	0.0400839	0.1	0.5223	0.662703	0.0223487	0.164
19800	0.5445	0.625038	0.0250108	0.123	0.5413	0.637469	0.0570893	0.115	0.5448	0.668523	0.0158629	0.157
19900	0.5541	0.627956	0.0187755	0.106	0.5118	0.615858	0.0564737	0.155	0.5693	0.665036	0.0235005	0.114
20000	0.5455	0.62859	0.0248492	0.111	0.5368	0.640246	0.0589593	0.124	0.568	0.674835	0.0281715	0.119
20100	0.5164	0.61844	0.0410327	0.152	0.5659	0.66231	0.0432368	0.122	0.586	0.665195	0.0305704	0.111
20200	0.5243	0.616007	0.0383038	0.14	0.5591	0.672141	0.0306496	0.122	0.5737	0.667251	0.0285515	0.097
20300	0.5206	0.634377	0.0247564	0.146	0.5741	0.677643	0.0207774	0.112	0.5376	0.657631	0.0275687	0.115
20400	0.5595	0.652553	0.0308449	0.119	0.5578	0.677298	0.0255255	0.117	0.5518	0.658721	0.0263763	0.139
20500	0.5431	0.647943	0.0270302	0.102	0.5666	0.678744	0.0267496	0.115	0.5313	0.653942	0.023206	0.139
20600	0.554	0.644936	0.0341251	0.108	0.5573	0.671377	0.0289574	0.109	0.5488	0.658879	0.0177937	0.114
20700	0.5622	0.659023	0.0294301	0.106	0.5504	0.675602	0.0237604	0.123	0.5363	0.652952	0.0206616	0.114
20800	0.5459	0.657659	0.0235862	0.114	0.5688	0.675487	0.0246557	0.128	0.5984	0.671205	0.0235027	0.088
20900	0.5473	0.653434	0.0206889	0.134	0.5506	0.667739	0.0294571	0.144	0.5448	0.663408	0.0283629	0.135
21000	0.5446	0.651312	0.0155837	0.134	0.5688	0.670315	0.0266163	0.103	0.5545	0.672666	0.0271589	0.12
21100	0.555	0.646215	0.0176448	0.121	0.5453	0.669604	0.0228962	0.151	0.5355	0.676978	0.025361	0.148
21200	0.5396	0.64811	0.0186337	0.121	0.5863	0.677252	0.0286344	0.093	0.5764	0.683169	0.0285489	0.135
21300	0.5546	0.642281	0.024077	0.119	0.5441	0.687354	0.0306657	0.137	0.5687	0.699368	0.0183308	0.116
21400	0.5206	0.640912	0.0197578	0.145	0.5473	0.693027	0.0316574	0.162	0.5734	0.694629	0.0161976	0.133
21500	0.5583	0.642448	0.0258589	0.113	0.5558	0.679196	0.0358126	0.129	0.5286	0.689796	0.0176898	0.161
21600	0.5305	0.634927	0.0380481	0.124	0.5701	0.705395	0.0376555	0.135	0.5389	0.693315	0.0174619	0.14
