Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
385000	0.4262	0.749249	0.00506796	0.00680086	0.00777654	0.570636	0.0502611	0.4211	0.786169	0.00343053	0.00309826	0.005909	0.532609	0.0116873	0.4303	0.755779	0.00461574	0.00790716	0.00917763	0.567715	0.238339
390000	0.4428	0.749958	0.00243368	0.0032864	0.0079052	0.576022	0.0170477	0.4432	0.742746	0.00712181	0.00811067	0.0111469	0.587675	0.0218005	0.4327	0.766738	0.00479015	0.00475544	0.00704602	0.576118	0.19818
395000	0.4327	0.753978	0.00350385	0.00420573	0.0063395	0.55975	0.0155413	0.4273	0.761349	0.0067766	0.00612374	0.00761653	0.558999	0.049939	0.4116	0.784977	0.00188758	0.0020118	0.00433753	0.526428	0.0611244
400000	0.4291	0.764895	0.0036273	0.0040603	0.00582535	0.562104	0.0590533	0.4142	0.768828	0.0060228	0.00464347	0.00635634	0.535515	0.0851288	0.4179	0.743292	0.00544218	0.00488817	0.00518719	0.560817	0.0306816
405000	0.4202	0.759014	0.00290114	0.00333566	0.00852475	0.551202	0.0583282	0.4302	0.733356	0.00408949	0.00660807	0.00793761	0.586049	0.121434	0.4358	0.765766	0.00530076	0.00555413	0.00628634	0.557	0.0561335
410000	0.4208	0.753563	0.00695535	0.00700033	0.00936677	0.560759	0.0221204	0.4165	0.746481	0.00628084	0.00542971	0.00664953	0.562276	0.0380901	0.4179	0.749008	0.00561293	0.00688169	0.0106147	0.553734	0.0284438
415000	0.429	0.756171	0.00732433	0.00751052	0.00755221	0.566041	0.047368	0.4228	0.763607	0.00423351	0.00667257	0.00748781	0.549853	0.0297484	0.421	0.768214	0.00527357	0.00632354	0.00702232	0.552822	0.0485533
420000	0.4297	0.735927	0.00524934	0.00453239	0.00669958	0.578827	0.0359421	0.4193	0.766205	0.00959651	0.00898478	0.0129684	0.540003	0.0343089	0.4256	0.768574	0.00556174	0.00587297	0.00840742	0.55456	0.0108542
425000	0.4068	0.775067	0.0068836	0.00646642	0.0070642	0.528021	0.0246214	0.4322	0.741941	0.00428673	0.00440555	0.00650841	0.583432	0.0165164	0.4273	0.766931	0.0033723	0.00323068	0.00570657	0.547856	0.0175972
430000	0.4337	0.745966	0.00896861	0.00821062	0.00819558	0.576478	0.0241175	0.4219	0.771507	0.00482456	0.00450179	0.00730403	0.536667	0.0252073	0.4311	0.748152	0.0138953	0.011502	0.00875291	0.57777	0.0264537
435000	0.4219	0.775439	0.00436205	0.00507088	0.00593242	0.533721	0.0307329	0.4243	0.758528	0.00406321	0.00419859	0.00575905	0.550557	0.0225115	0.4425	0.767641	0.00955934	0.00697639	0.0100625	0.566201	0.0169418
