Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
12400	0.6715	-nan	0.6715	0.679789	0.0242174	0	0	0.7056	-nan	0.7056	0.702294	0.0159342	0	0	0.6419	-nan	0.6419	0.639526	0.0401106	0	0
12500	0.6893	-nan	0.6893	0.678526	0.0337	0	0	0.6868	-nan	0.6868	0.694757	0.028149	0	0	0.6381	-nan	0.6381	0.630942	0.0425619	0	0
12600	0.6704	-nan	0.6704	0.669891	0.0424578	0	0	0.6854	-nan	0.6854	0.690793	0.022039	0	0	0.6442	-nan	0.6442	0.642496	0.040556	0	0
12700	0.6539	-nan	0.6539	0.647687	0.0550363	0	0	0.6832	-nan	0.6832	0.685823	0.0249891	0	0	0.6359	-nan	0.6359	0.63757	0.0351167	0	0
12800	0.6445	-nan	0.6445	0.648028	0.050452	0	0	0.6828	-nan	0.6828	0.68683	0.0186789	0	0	0.6262	-nan	0.6262	0.629448	0.0361338	0	0
12900	0.6437	-nan	0.6437	0.64784	0.0500534	0	0	0.6848	-nan	0.6848	0.682428	0.018532	0	0	0.6227	-nan	0.6227	0.624451	0.0208446	0	0
13000	0.6706	-nan	0.6706	0.670279	0.0332842	0	0	0.683	-nan	0.683	0.68879	0.0191014	0	0	0.6518	-nan	0.6518	0.652224	0.0214504	0	0
13100	0.6698	-nan	0.6698	0.671616	0.03974	0	0	0.6792	-nan	0.6792	0.680357	0.0147176	0	0	0.6548	-nan	0.6548	0.656459	0.0223686	0	0
13200	0.6554	-nan	0.6554	0.658941	0.0395086	0	0	0.6738	-nan	0.6738	0.675047	0.0159662	0	0	0.6447	-nan	0.6447	0.653392	0.0198865	0	0
13300	0.6884	-nan	0.6884	0.678551	0.0394063	0	0	0.6704	-nan	0.6704	0.672484	0.0180385	0	0	0.648	-nan	0.648	0.652846	0.0195816	0	0
13400	0.6881	-nan	0.6881	0.691389	0.0325323	0	0	0.688	-nan	0.688	0.679631	0.0168558	0	0	0.6625	-nan	0.6625	0.670481	0.0175559	0	0
13500	0.707	-nan	0.707	0.711702	0.0217358	0	0	0.6725	-nan	0.6725	0.672969	0.0127417	0	0	0.6672	-nan	0.6672	0.661839	0.0150541	0	0
13600	0.71	-nan	0.71	0.70957	0.0147297	0	0	0.6723	-nan	0.6723	0.672428	0.0201761	0	0	0.6653	-nan	0.6653	0.663507	0.0164431	0	0
13700	0.705	-nan	0.705	0.704959	0.0153629	0	0	0.6549	-nan	0.6549	0.659944	0.0187579	0	0	0.6647	-nan	0.6647	0.664476	0.0152986	0	0
13800	0.7033	-nan	0.7033	0.709153	0.0176533	0	0	0.6619	-nan	0.6619	0.66168	0.026716	0	0	0.6578	-nan	0.6578	0.660921	0.0151393	0	0
13900	0.7065	-nan	0.7065	0.705559	0.0203923	0	0	0.6617	-nan	0.6617	0.661979	0.0215418	0	0	0.6681	-nan	0.6681	0.669029	0.0137816	0	0
14000	0.7066	-nan	0.7066	0.707574	0.0216196	0	0	0.6733	-nan	0.6733	0.6768	0.0266757	0	0	0.6727	-nan	0.6727	0.676312	0.0118049	0	0
14100	0.7159	-nan	0.7159	0.706851	0.0215204	0	0	0.6719	-nan	0.6719	0.671584	0.0211394	0	0	0.6869	-nan	0.6869	0.680619	0.0134409	0	0
14200	0.711	-nan	0.711	0.716811	0.0264609	0	0	0.6731	-nan	0.6731	0.675013	0.0159196	0	0	0.6828	-nan	0.6828	0.676496	0.017038	0	0
14300	0.7009	-nan	0.7009	0.701309	0.0283699	0	0	0.6711	-nan	0.6711	0.671141	0.0136779	0	0	0.6748	-nan	0.6748	0.671854	0.0188463	0	0
14400	0.6896	-nan	0.6896	0.695723	0.0224079	0	0	0.6681	-nan	0.6681	0.670088	0.0114347	0	0	0.669	-nan	0.669	0.668051	0.0177111	0	0
14500	0.6997	-nan	0.6997	0.704079	0.0247754	0	0	0.6677	-nan	0.6677	0.671573	0.0129382	0	0	0.6675	-nan	0.6675	0.666432	0.0161228	0	0
14600	0.702	-nan	0.702	0.702542	0.0286943	0	0	0.667	-nan	0.667	0.667024	0.0122219	0	0	0.6584	-nan	0.6584	0.668801	0.0207102	0	0
14700	0.6936	-nan	0.6936	0.692889	0.0286554	0	0	0.6751	-nan	0.6751	0.674276	0.0126952	0	0	0.6655	-nan	0.6655	0.663973	0.0190527	0	0
14800	0.6773	-nan	0.6773	0.680462	0.0279594	0	0	0.6844	-nan	0.6844	0.680093	0.0132237	0	0	0.6656	-nan	0.6656	0.666166	0.0220191	0	0
